RL100-Code;RL100-Langname;RL100-Kurzname;Typ Lang;Betriebszustand;PLC;Datum ab;Datum bis;Niederlassung
HU  G;Uelzen Gbf;Uelzen Gbf;Bft;Betrieb;DE20428;20081214;;2
HU  Z;Uelzen ZOB;Uelzen ZOB;Bush;Betrieb;;19990101;;0
HUA;Scharrel Union;Union;NE-Anst;Betrieb;;20081214;;0
HUCH;Uchte;Uchte;Museum;Betrieb;;20080501;;0
HUFN;Uffeln;Uffeln;NE-Awanst;Betrieb;;20081214;;0
HUNL;Unterlüß;Unterlüß;Bf;Betrieb;DE20512;20081214;;2
HUNT;Unterstedt;Unterstedt;Bf;Betrieb;DE20522;20081214;;2
HUNZ;Uenzen;Uenzen;NE-Bf;Betrieb;;20081214;;0
HUS;Uslar;Uslar;Bf;Betrieb;DE20539;20081214;;2
HUTB;Bremen Utbremen;Utbremen;Abzw;Betrieb;DE11644;20081214;;2
HUX;Uelzen ESTW-UZ;Uelzen ESTW;BZ;Planung;;20110812;;2
HV;Verden (Aller);Verden (Aller);Bf;Betrieb;DE20588;20081214;;2
HVA;Varel (Oldb);Varel (Oldb);Bf;Betrieb;DE20555;20081214;;2
HVAB;Varrelbusch;Varrelbusch;NE-Anst;Betrieb;;20081214;;0
HVAH;Bremen-Vahr;Vahr;Abzw;Betrieb;DE11663;20100801;;2
HVAU;Varrelbusch Aumann;Varrelb Aumann;NE-Hp;Betrieb;;20161211;;0
HVAW;Varel West;Varel West;Anst;a.B.;DE20557;20051211;;2
HVBG;Vienenburg;Vienenburg;Bf;Betrieb;DE20594;20081214;;2
HVBK;Vennebeck;Vennebeck;Bf;Betrieb;DE20586;20081214;;2
HVCH;Vechta;Vechta;Bf;Betrieb;DE20563;20081214;;2
HVCS;Vechta-Stoppelmarkt;Vechta-Stoppelm;Hp;Betrieb;DE20564;20081214;;2
HVDH;Veldhausen;Veldhausen;NE-Bf;Betrieb;;20081214;;0
HVEA;Verden (Aller) Süd;Verden (A) Süd;NE-Bf;Betrieb;;20081214;;0
HVEC;Vechelde;Vechelde;Bf;Betrieb;DE20562;20081214;;2
HVEH;Vehrte;Vehrte;Bf;Betrieb;DE20568;20081214;;2
HVEP;Velpe (Westf);Velpe (Westf);Bf;Betrieb;DE20582;20081214;;2
HVFL;Varrelbusch Flugplatz;Varrelb Flugpl;NE-Hp;Betrieb;;20161211;;0
HVHP;Vorhop;Vorhop;Hp;Betrieb;DE20656;20081214;;2
HVIH;Vilser Holz;Vilser Holz;Museum;Betrieb;;20000416;;0
HVIN;Hannover-Vinnhorst;Han-Vinnhorst;Bf;Betrieb;DE14570;20081214;;2
HVIO;Vilsen Ort;Vilsen Ort;Museum;Betrieb;;20000416;;0
HVIS;Visselhövede;Visselhövede;Bf;Betrieb;DE20619;20081214;;2
HVLO;Vlotho;Vlotho;Bf;Betrieb;DE20623;20081214;;2
HVLOS;Vlotho                          (Schiff);Vlotho         S;Slst;Betrieb;;19990101;;0
HVMP;Vormeppen;Vormeppen;NE-Bf;Betrieb;;20081214;;0
HVOE;Vöhrum;Vöhrum;Hp;Betrieb;DE20636;20101212;;2
HVOL;Voldagsen;Voldagsen;Bf;Betrieb;DE20642;20081214;;2
HVOLD;Voldagsen DBG;Voldagsen DBG;Museum;Betrieb;;20000416;;0
HVOP;Volpriehausen;Volpriehausen;Hp;Betrieb;DE20655;20081214;;2
HVOR;Vorsfelde;Vorsfelde;Bf;Betrieb;DE20660;20081214;;2
HVOW;Vorwohle;Vorwohle;Üst;Betrieb;DE20661;20081214;;2
HVOWD;Vorwohle DBG;Vorwohle DBG;NE-Bft;a.B.;;20080530;;0
HVPG;Beddingen VPS DB-Grenze;VPS DB-Gr;Gp;Betrieb;DE10724;20171220;;2
HVQ;Verden Bedienstandort;Verden BSO;BSO;Planung;;20180301;;2
HVR;Veerßen;Veerßen;Üst;Betrieb;DE20565;20141214;;2
HVSB;Bohmte Vosberg;Vosberg;NE-Bf;a.B.;;20090127;;0
HVSS;Visselhövede Stadt;Stadt Visselhöv;Anst;Betrieb;DE20620;20081214;;2
HVST;Varrelbusch-Staatsforsten;Staatsforsten;NE-Hp;Betrieb;;20161211;;0
HVTH;Veltheim (b Rinteln);Veltheim;Bf;Betrieb;DE20584;20081214;;2
HVWH;Vernawahlshausen;Vernawahlshausen;Hp;Betrieb;DE20590;20081214;;2
HVWR;Vorwalsrode;Vorwalsrode;NE-Bf;Betrieb;;20081214;;0
HVX;Verden - Rotenburg Strecke ESTW-UZ;Verden-Rotb ESTW;BZ;Betrieb;;20141030;;2
HW;Wilhelmshaven;Wilhelmshaven;Bf;Betrieb;DE21146;20081214;;2
HW  H;Wilhelmshaven Helgolandkai;Wilhelmshv Helgo;Slst;Betrieb;;19990101;;0
HWA;Wangerooge Westanleger;Wangerooge W-anl;Bf;Betrieb;DE20763;20160901;;2
HWAB;Wahnebergen;Wahnebergen;Üst;Betrieb;DE20685;20081214;;2
HWAD;Wachendorf;Wachendorf;NE-Bf;Betrieb;;20081214;;0
HWAL;Walle (Kr Verden);Walle/Verden;Bf;Betrieb;DE20729;20081214;;2
HWAM;Hannover-Waldheim;Waldheim;Abzw;Betrieb;DE14572;20081214;;2
HWAR;Warburg (Westf);Warburg (Westf);Bf;Betrieb;DE20780;20081214;;5
HWARN;Warburg (Westf) Nord;Warburg Nord;Bft;Betrieb;DE20781;20080101;;5
HWAT;Watenbüttel;Watenbüttel;Bf;a.B.;DE20819;20061117;;2
HWAZ;Wahrenholz;Wahrenholz;Bf;Betrieb;DE20688;20081214;;2
HWBD;Willebadessen;Willebadessen;Bf;Betrieb;DE21165;20081214;;5
HWBG;Wohldenberg;Wohldenberg;Museum;Betrieb;;20091001;;0
HWBM;Wardböhmen;Wardböhmen;NE-Bf;Betrieb;;20090401;;0
HWDH;Windheim (Weser);Windheim (Weser);Bf;Betrieb;DE21188;20081214;;2
HWDZ;Wendezelle;Wendezelle;Bf;a.B.;DE20979;20060201;;2
HWEA;Weddel                            (Abzw);Weddel Abzw;Abzw;Betrieb;DE20828;20090214;;2
HWEB;Wenden-Bechtsbüttel;Wenden-Bechtsbüt;Bf;Betrieb;DE20977;20100801;;2
HWED;Weddel (Braunschw);Weddel/Braunschw;Hp;Betrieb;DE20829;20081214;;2
HWEE;Weener;Weener;Hp Awanst;Betrieb;DE20831;20081214;;2
HWEH;Wehrden (Weser);Wehrden(Weser);Hp;Betrieb;DE20851;20081214;;3
HWEL;Hameln-Wehl;Hameln-Wehl;Awanst;Betrieb;DE14504;20081214;;2
HWEN;Wendessen;Wendessen;Awanst;Betrieb;DE20978;20081214;;2
HWER;Werdum;Werdum;Bush;Betrieb;;20050223;;0
HWES;Wesseln;Wesseln;Hp;Betrieb;DE21042;20081214;;2
HWETS;Wettbergen Stadtbahn Üstra;Wettbergen Üstra;Bush;Betrieb;;20170406;;0
HWEW;Westerwalsede;Westerwalsede;Bf;Betrieb;DE21061;20081214;;2
HWEY;Westerweyhe;Westerweyhe;Awanst;a.B.;DE21062;20071209;;2
HWEZ;Weetzen;Weetzen;Bf;Betrieb;DE20834;20081214;;2
HWF;Schortens Weißer Floh;Weißer Floh;Abzw;Betrieb;DE19499;20091213;;2
HWFR;Waldfrieden                        (AVL);Waldfrieden  AVL;Museum;Betrieb;;20000416;;0
HWG;Wangerooge;Wangerooge;Bf;Betrieb;DE20761;20081214;;2
HWGF;Wangerooge Flugplatz;Wangerooge Flug;NE-Tpp;Betrieb;;20160301;;0
HWHF;Waldhöfe;Waldhöfe;NE-Bf;Betrieb;;20100601;;0
HWHM;Minden Westhafen;Mdn Westhafen;NE-Bf;Betrieb;;20081214;;0
HWHN;Hannover-Waldhausen;Waldhausen;Abzw;Betrieb;DE14571;20081214;;2
HWHS;Wilhelmshaven Stadt Wilhelmshaven;St Wilhelmshaven;Awanst;a.B.;DE21153;20151215;;2
HWIA;Winsen (Aller);Winsen (Aller);Slst;Betrieb;;19990101;;0
HWID;Winsen (Luhe) Süd;Winsen(Luhe)Süd;NE-Bf;Betrieb;;20081214;;0
HWIH;Wildeshausen;Wildeshausen;Bf;Betrieb;DE21140;20081214;;2
HWIL;Wittlage;Wittlage;NE-Bf;Betrieb;;20081214;;0
HWIN;Winninghausen;Winninghausen;Hp;Betrieb;DE21199;20081214;;2
HWIR;Wierthe;Wierthe;Awanst;a.B.;DE21093;20091213;;2
HWIS;Wissingen;Wissingen;Bf;Betrieb;DE21220;20081214;;2
HWJG;Wilhelmshaven JadeWeserPort DB-Grenze;JadeWeserP DB-Gr;Gp;Betrieb;DE21147;20091213;;2
HWJP;Wilhelmshaven JadeWeserPort;JadeWeserPort;NE-Bf;Betrieb;;20121209;;0
HWKD;Walkenried;Walkenried;Bf;Betrieb;DE20721;20081214;;4
HWKDB;Walkenried Bahnhof;Walkenried Bf;Bush;Betrieb;;19990101;;0
HWKP;Wiehe Kurpark;Wiehe Kurpark;Museum;Betrieb;;20000416;;0
HWKS;Wickensen;Wickensen;NE-Bf;a.B.;;20090127;;0
HWLD;Werlaburgdorf;;;Betrieb;;;;0
HWLI;Wolfenbüttel-Linden;Linden (Wolfb);Awanst;Betrieb;DE21260;20081214;;2
HWLL;Wellendorf (Kr Osnabrück);Wellendorf/Osnbr;vp-Bf;Betrieb;DE20960;20081214;;2
HWM;Wiesmoor Markt;Wiesmoor Markt;Bush;Betrieb;;20010427;;0
HWMG;Wilhelmshaven Mobil Oil DB-Grenze;Mobil Oil DB-Gr;Gp;Betrieb;DE21149;20091213;;2
HWMO;Wilhelmshaven Mobil Oil;Whv Mobil Oil;Bf;Betrieb;DE21148;20091213;;2
HWMS;Warmsen;Warmsen;Museum;Betrieb;;20080410;;0
HWN;Wangerooge Westen;Wangerooge West;Bf;Betrieb;DE20764;20081214;;2
HWNG;Wilhelmshaven Nord DB-Grenze;Whv Nord DB-Gr;Gp;Betrieb;DE21151;20101212;;2
HWNO;Wilhelmshaven Nord;Wilhhv Nord;Anst;Betrieb;DE21150;20091213;;2
HWNS;Watenstedt;Watenstedt;Hp;a.B.;DE20820;20091213;;2
HWOB;Wolfsburg Hbf;Wolfsburg Hbf;Bf;Betrieb;DE21269;20081214;;2
HWOBB;Wolfsburg Busbf;Wolfsburg Busbf;Bush;Betrieb;;19990101;;0
HWOE;Wilhelmshaven Ölweiche;Wilhhv Ölweiche;Bf;Betrieb;DE21152;20091213;;2
HWOH;Wolfenbüttel Hp;Wolfenbüttel Hp;Hp;Betrieb;DE21258;20081214;;2
HWOL;Wolfenbüttel;Wolfenbüttel;Bf;Betrieb;DE21257;20081214;;2
HWOT;Woltorf;Woltorf;Bf;a.B.;DE21294;20060201;;2
HWRD;Wehrendorf;Wehrendorf;NE-Hp Anst;Betrieb;;20081214;;0
HWRG;Walsrode Böhme DB-Grenze;Walsrode B DB-Gr;Gp;Betrieb;DE20747;20131023;;2
HWRN;Wieren;Wieren;Bf;Betrieb;DE21092;20081214;;2
HWRO;Walsrode Nord;Walsrode Nord;NE-Bf;Betrieb;;20081214;;0
HWRS;Wersen;Wersen;NE-Bf;Betrieb;;20081214;;0
HWRT;Werlte;Werlte;NE-Bf;Betrieb;;20100601;;0
HWRX;Wrexen;Wrexen;Awanst;Betrieb;DE21324;20081214;;3
HWSD;Westerstede (Oldb);Westerstede/Oldb;Anst;a.B.;DE21055;20030506;;2
HWSG;Walsrode DB-Grenze;Walsrode DB-Gr;Gp;Betrieb;DE20748;20090108;;2
HWSN;Wennigsen (Deister);Wennigsen/Deist;Bf;Betrieb;DE20990;20081214;;2
HWSR;Walsrode;Walsrode;Bf;Betrieb;DE20746;20081214;;2
HWST;Westerende;Westerende;Museum;Betrieb;;20090301;;0
HWTB;Westerbrak;Westerbrak;NE-Bf;a.B.;;20090127;;0
HWTG;Wittingen DB-Grenze;Wittingen DB-Gr;Gp;Betrieb;DE21598;20141214;;2
HWTH;Westerhausen (Kr Melle);Westerhsn/Melle;Hp;Betrieb;DE21051;20081214;;2
HWTK;Westerkappeln;Westerkappeln;NE-Bf;Betrieb;;20081214;;0
HWTM;Wittmund;Wittmund;Hp;Betrieb;DE21243;20100801;;2
HWTS;Witzenhausen Süd;Witzenhausen Süd;Anst;a.B.;DE21246;20060201;;2
HWTSB;Witzenhausen Busbf;Witzenhsn Busbf;Bush;Betrieb;;19990101;;0
HWTT;Wittingen;Wittingen;Bf;Betrieb;DE21238;20081214;;2
HWTW;Wittingen West;Wittingen West;NE-Bf;Betrieb;;20081214;;0
HWU;Hannover-Wülfel;Hannover-Wülfel;Bf;Betrieb;DE14573;20081214;;2
HWUE;Wüsting;Wüsting;Bf;Betrieb;DE21358;20081214;;2
HWUF;Wulfsen Nord;Wulfsen Nord;NE-Hp;Betrieb;;20081214;;0
HWUG;Wunstorf DB-Grenze;Wunstorf DB-Gr;Gp;Betrieb;DE21369;20081214;;2
HWUL;Wulften;Wulften;Hp Bk;Betrieb;DE21363;20081214;;2
HWUM;Mesmerode;Mesmerode;NE-Bf;Betrieb;;20081214;;0
HWUN;Wunstorf;Wunstorf;Bf;Betrieb;DE21368;20081214;;2
HWUS;Wunstorf Stadt;Wunstorf Stadt;NE-Bf;Betrieb;;20081214;;0
HWUW;Wunstorf West;Wunstorf West;NE-Bf;Betrieb;;20081214;;0
HWV;Wilhelmshaven-Voslapp;Wilhhv-Voslapp;Anst;Betrieb;DE21155;20030101;;2
HWW;Wilhelmshaven West;Wilhelmshaven W;Awanst;Betrieb;DE21154;20081214;;2
HWWI;Woltwiesche;Woltwiesche;Hp;Betrieb;DE21295;20120701;;2
HWWIG;Woltwiesche Große Str/Brückenstr;Woltwiesche Gr S;Bush;Betrieb;;20020316;;0
HWZD;Wietzendorf;Wietzendorf;NE-Bf;Betrieb;;20090401;;0
HXB;Bad Bentheim Grenze;Bad Bentheim Gr;Gp;Betrieb;DE10402;20081214;;2
HXL;Laarwald Grenze;Laarwald Grenze;NE-Gp;Betrieb;;20081214;;0
HXWE;Weener Grenze;Weener Grenze;Gp;Betrieb;DE20832;20081214;;2
HZSA;Varel Halbzellstoff 1/2;Halbzellstoff1/2;Anst;a.B.;DE20556;20051211;;2
HZSB;Zasenbeck;Zasenbeck;NE-Bf;Betrieb;;20090401;;0
HZWD;Ibbenbüren Zumwalde;Zumwalde;NE-Bf;Betrieb;;20081214;;0
HZWI;Bad Zwischenahn;Bad Zwischenahn;Bf;Betrieb;DE10577;20081214;;2
IAAD;Arpsdorf                          (Fwst);Arpsdorf;Fwst;Betrieb;;20061201;;2
IAAL;Hamburg Altona                      (GW);Altona;GW;Betrieb;;20080101;;9
IAALT;Hamburg Altona                      (TS);Altona;TS;Betrieb;;20080101;;9
IAAM;Hamburg Aumühle                     (GW);Aumühle;GW;Betrieb;;20080101;;9
IABA;Hamburg Barmbek                     (GW);Barmbek;GW;Betrieb;;20080101;;9
IABAT;Hamburg Barmbek                     (TS);Barmbek;ST;Betrieb;;20080101;;9
IABC;Hamburg Bostelbek                   (GW);Bostelbek;GW;Betrieb;;20080101;;9
IABG;Hamburg Bergedorf                   (GW);Bergedorf;GW;Betrieb;;20080101;;2
IABI;Hamburg Billwerder                  (GW);Billwerder;GW;Betrieb;;20080101;;2
IABK;Hamburg Bergetorf Trenner           (TS);Bergetorf TS;TS;Betrieb;;20080101;;2
IABL;Hamburg Blankenese                  (KS);Blankenese;KS;Betrieb;;20080101;;9
IABLZ;Buchholz (Nordheide)                (Uw);Buchholz(Nordh);Uw;Betrieb;;20030101;;2
IABOK;Bokel                             (Fwst);Bokel;Fwst;Betrieb;;20061201;;2
IABR;Hamburg Bergedorf                  (ST);Bergedorf;ST;Betrieb;;20080101;;2
IABT;Hamburg Berliner Tor                (GW);Berliner Tor;GW;Betrieb;;20171210;;9
IABTT;Hamburg Berliner Tor Trenner        (TS);Berliner Tor TS;TS;Betrieb;;20171210;;9
IAE;Hamburg-Eidelstedt                 (Sp);Hmb-Eidelst;Sp;Betrieb;;20030101;;2
IAED;Hamburg Eidelstedt                  (GW);Eidelstedt;GW;Betrieb;;20080101;;9
IAEDT;Hamburg Eidelstedt                  (TS);Eidelstedt;TS;Betrieb;;20080101;;9
IAEG;Hamburg Waschanlage Elbgaustraße   (ST);Elbgaustraße W;ST;Betrieb;;20080101;;9
IAEL;Elmshorn                            (Uw);Elmshorn;Uw;Betrieb;;20030101;;2
IAES;Hamburg Elbgaustraße               (ST);Elbgaustraße;ST;Betrieb;;20080101;;9
IAFL;Hamburg Flottbek                    (GW);Flottbek;GW;Betrieb;;20080101;;9
IAFLT;Hamburg Flottbek                    (TS);Flottbek;GW;Betrieb;;20080101;;9
IAFU;Hamburg Flughafen                   (GW);Flughafen;GW;Betrieb;;20080101;;9
IAH;Hamburg Hbf                         (Sp);Hamburg Hbf;Sp;Betrieb;;20030101;;2
IAHAR;Hamburg-Harburg                     (Uw);Hamburg-Harbg;Uw;Betrieb;;20030101;;2
IAHB;Hamburg Halstenbek                  (GW);Halstenbek;GW;Betrieb;;20080101;;9
IAHBT;Hamburg Halstenbek                  (TS);Halstenbek;TS;Betrieb;;20080101;;9
IAHH;Hamburg Hauptbahnhof                (KS);Hauptbahnhof;KS;Betrieb;;20080101;;9
IAHM;Hamburg Hammerbrook                 (GW);Hammerbrook;GW;Betrieb;;20080101;;9
IAHR;Hamburg Harburg                     (GW);Harburg;GW;Betrieb;;20080101;;9
IAHS;Hamburg Hasselbrook                 (GW);Hasselbrook;GW;Betrieb;;20080101;;9
IAJ;Jübek                               (Uw);Jübek;Uw;Betrieb;;20030101;;2
IAJG;Hamburg Jungfernstieg               (TS);Jungfernstieg;TS;Betrieb;;20080101;;9
IAKS;Hamburg Königsstrasse               (TS);Königsstrasse;TS;Betrieb;;20080101;;9
IAKW;Hamburg Kornweg                     (KS);Kornweg;KS;Betrieb;;20080101;;9
IALB;Hamburg Landungsbrücken             (GW);Landungsbrücken;GW;Betrieb;;20080101;;9
IALBG;Lüneburg                            (Uw);Lüneburg;Uw;Betrieb;;20030101;;2
IALBT;Hamburg Landungsbrücken             (TS);Landungsbrücken;TS;Betrieb;;20080101;;9
IALE;Hamburg Lessingtunnel              (ST);Lessingtunnel;GW;Betrieb;;20080101;;9
IALF;Hamburg Langenfelde                 (KS);Langenfelde;KS;Betrieb;;20080101;;9
IALG;Genin Umrichterwerk;Genin Urw;Urw;Betrieb;;20080101;;2
IAM;Maschen                             (Sp);Maschen;Sp;Betrieb;;20030101;;2
IAML;Hamburg Mittlerer Landweg           (KS);Mittlerer Landwg;KS;Betrieb;;20080101;;9
IAMS;Hamburg Museumstraße                (Ks);Museumstraße;GW;Betrieb;;20080101;;9
IAN;Neumünster                          (Uw);Neumünster;Uw;Betrieb;;20030101;;2
IAND;Nenndorf                            (Sw);Nenndorf;Sw;Betrieb;;20041101;;2
IANG;Hamburg Neugraben                   (GW);Neugraben;GW;Betrieb;;20080101;;9
IAOF;Hamburg Ohlsdorf (Flughafen)        (TS);Ohlsdorf (Flgh.);TS;Betrieb;;20080101;;9
IAOH;Hamburg Ohlsdorf                    (GW);Ohlsdorf;GW;Betrieb;;20080101;;9
IAOS;SS - Owschlag;Owschlag;Fwst;Betrieb;;20080101;;2
IAOW;Hamburg DC Ohlsdorf                 (GW);Ohlsdorf DC;GW;Betrieb;;20080101;;9
IAO1;Hamburg Ohlsdorf 1                 (ST);Ohlsdorf 1;ST;Betrieb;;20080101;;9
IAO2;Hamburg Ohlsdorf 2                 (ST);Ohlsdorf 2;ST;Betrieb;;20080101;;9
IAPB;Hamburg Poppenbüttel                (GW);Poppenbüttel;GW;Betrieb;;20080101;;9
IAPBT;Hamburg Poppenbüttel                (TS);Poppenbüttel;TS;Betrieb;;20080101;;9
IAPP;Hamburg Waschanlage Poppenbüttel   (ST);Poppenbüttel W;ST;Betrieb;;20080101;;9
IARB;Hamburg Reinbek                     (TS);Reinbek;TS;Betrieb;;20080101;;9
IARI;Hamburg Rissen                      (GW);Rissen;GW;Betrieb;;20080101;;9
IARIT;Hamburg Rissen                      (TS);Rissen;TS;Betrieb;;20080101;;9
IAROG;Rotenburg (Wümme)                   (Uw);Rotenbg(Wümme);Uw;Betrieb;;20030101;;2
IARP;Hamburg Reeperbahn                  (TS);Reeperbahn;TS;Betrieb;;20080101;;9
IASD;Hamburg Sülldorf                    (TS);Sülldorf;TS;Betrieb;;20080101;;9
IASH;Hamburg Stadthausbrücke             (TS);Stadthausbrücke;TS;Betrieb;;20080101;;9
IASTG;Hamburg Sternschanze                (GW);Sternschanze;GW;Betrieb;;20080101;;9
IASTN;Hamburg Sternschanze                (NL);Sternschanze NL;NLZ;Betrieb;;20080619;;9
IASTT;Hamburg Sternschanze                (TS);Sternschanze;TS;Betrieb;;20080101;;9
IATD;Hamburg Thesdorf                    (GW);Thesdorf;GW;Betrieb;;20080101;;9
IATDT;Hamburg Thesdorf                    (TS);Thesdorf;TS;Betrieb;;20080101;;9
IATK;Hamburg Tiefstack                   (ES);Tiefstack;ES;Betrieb;;20080101;;9
IATS;Hamburg Tiefstack                   (KS);Tiefstack;KS;Betrieb;;20080101;;9
IAWD;Hamburg Wedel                       (GW);Wedel;GW;Betrieb;;20080101;;9
IAWH;Hamburg Wilhemsburg                 (GW);Wilhemsburg;GW;Betrieb;;20080101;;9
IAWO;Hamburg Wohltorf                    (GW);Wohltorf;GW;Betrieb;;20080101;;9
IBAAN;Berlin 110/30kV-Abnehmeranlage Nord;Abnehmeranl Nord;AA;Betrieb;;20080101;;1
IBAAO;Berlin 110/30kV-Abnehmeranlage Ost;Abnehmeranl Ost;AA;Betrieb;;20030101;;1
IBAAW;Berlin 110/30kV-Abnehmeranlage West;Abnehmeranl West;AA;Betrieb;;20060201;;1
IBADL;Berlin-Adlershof                   (Sst);Adlershof Sst;Sst;Betrieb;;20080808;;1
IBAG;Glasower Damm                       (Sp);Glasower Damm;Sp;Betrieb;;20080101;;1
IBAHS;Berlin Anhalter Bf (unten)         (Sst);Bln Anh Bf u Sst;Sst;Betrieb;;20060201;;1
IBAHU;Berlin Anhalter Bf                  (Uw);Bln Anhalt Bf Uw;Guw;Betrieb;;20060201;;1
IBALE;Berlin Alexanderplatz               (Uw);Alexanderpl   Uw;Guw;Betrieb;;20030101;;1
IBALS;Berlin Alexanderplatz              (Sst);Alexanderpl  Sst;Sst;Betrieb;;20030101;;1
IBARF;Berlin-Reinickendorf               (GKs);Bln-Reindf   GKs;GKs;Betrieb;;20080101;;1
IBARK;Berlin Arkenberge                  (Guw);Bln Arkenbge Guw;Guw;Betrieb;;20140806;;1
IBASN;Sornoer Buden Nord VSS;VSS SornoerBuden;Schstr;Betrieb;;20120701;;4
IBBCH;Berlin Buckower Chaussee           (Sst);Buck Chauss  Sst;Sst;Betrieb;;20060201;;1
IBBEU;Berlin Beusselstraße               (Sst);Beusselstr   Sst;Sst;Betrieb;;20060201;;1
IBBEV;Berlin Bellevue                     (Uw);Bellevue      Uw;Guw;Betrieb;;20060201;;1
IBBF;Blankenfelde (Kr Teltow-Fläming)    (Uw);Blankenfelde  Uw;Guw;Betrieb;;20080101;;1
IBBFD;Bergfelde (b Berlin)               (GUw);Bergfelde    Guw;Guw;Betrieb;;20080101;;1
IBBFE;Bergfelde (b Berlin)               (GKs);Bergfelde    GKs;GKs;Betrieb;;20080101;;1
IBBGH;Bergholz (b Potsdam)                (Sp);Bergholz;Sp;Betrieb;;20080101;;1
IBBI;Birkenwerder (b Berlin)             (Uw);Birkenwerder  Uw;Guw;Betrieb;;20080101;;1
IBBIK;Biesdorfer Kreuz                    (Uw);Biesdorfer Kr Uw;Guw;Betrieb;;20030101;;1
IBBIS;Birkenwerder (b Berlin)            (Sst);Birkenwerder Sst;Sst;Betrieb;;20080101;;1
IBBKB;Berlin-Blankenburg                 (Sst);Blankenburg  Sst;Sst;Betrieb;;20080101;;1
IBBMW;Berlin-Baumschulenweg              (Sst);Baumschulenw Sst;Sst;Betrieb;;20080808;;1
IBBON;Borne (Mark)                        (Uw);Borne (Mark);Uw;Betrieb;;20080101;;1
IBBOR;Borgsdorf                           (Uw);Borgsdorf     Uw;Guw;Betrieb;;20160101;;1
IBBOS;Berlin Bornholmer Straße Bstg A    (Sst);Bornh Str A  Sst;Sst;Betrieb;;20080101;;1
IBBR;Brieske Verbindungskurve RSS;RSS VBK Brieske;Schstr;Betrieb;;20120701;;4
IBBRN;Bernau (b Berlin)                   (Uw);Bernau(b Bln) Uw;Guw;Betrieb;;20080101;;1
IBBRS;Bernau (b Berlin)                  (GKs);Bernau       GKs;GKs;Betrieb;;20080101;;1
IBBS;Berlin Böttgerstraße                (Uw);Böttgerstr    Uw;Guw;Betrieb;;20080101;;1
IBBUP;Berlin Bundesplatz                 (Sst);Bundesplatz  Sst;Sst;Betrieb;;20060201;;1
IBBUS;Berlin-Buch                        (Sst);Buch Sst;Sst;Betrieb;;20080101;;1
IBBW;Berlin-Baumschulenweg               (Uw);Baumschulenw  Uw;Guw;Betrieb;;20030101;;1
IBCAS;Calau Süd VSS;VSS Calau Süd;Schstr;Betrieb;;20120701;;1
IBCHA;Berlin-Charlottenburg              (Guw);Bln-Charlbg  Guw;Guw;Betrieb;;20080101;;1
IBCHB;Berlin-Charlottenburg              (Sst);Bln-Charlbg  Sst;Sst;Betrieb;;20080101;;1
IBCN;Calau (Niederlausitz)               (Sp);Calau(Niederl);Sp;Betrieb;;20170720;;1
IBCO;Coschen                             (Ks);Coschen;Ks;Betrieb;;20060201;;1
IBCS;Cottbus                             (Uw);Cottbus;dUw;a.B.;;20170720;;1
IBCSN;Cottbus B 12;Cottbus B 12;Fwst;Betrieb;;20080101;;1
IBCST;Cottbus B 23;Cottbus B 23;Fwst;Betrieb;;20080101;;1
IBCSU;Cottbus                            (Urw);Cottbus;Urw;Betrieb;;20170720;;1
IBDKH;Doberlug-Kirchhain                 (Urw);Doberlug-Kh;Urw;Betrieb;;20170720;;1
IBEIW;Eichwalde                          (GKs);Eichwalde    GKs;GKs;Betrieb;;20080101;;1
IBERG;Erkner                             (GUw);Erkner       GUw;Guw;Betrieb;;20060201;;1
IBERK;Erkner                              (Sp);Erkner;Sp;Betrieb;;20060201;;1
IBEW;Elsterwerda                         (Sp);Elsterwerda;Sp;Betrieb;;20030101;;4
IBFAH;Falkenhagener Kreuz                 (Sp);Falkenh Kreuz;Sp;Betrieb;;20080101;;1
IBFAL;Berlin Frankfurter Allee            (Uw);Bln Frankf A  Uw;Guw;Betrieb;;20030101;;1
IBFFO;Berlin-Friedrichsfelde Ost Bw      (Sst);Bln-Friedfde Sst;Sst;Betrieb;;20140806;;1
IBFHS;Berlin-Schönefeld Flughafen         (Uw);Flh Bln-Schf  Uw;Guw;Betrieb;;20080101;;1
IBFHU;Bln-Schönefeld                      (Uw);Bln-Schönef Uw;Uw;Betrieb;;20110723;;1
IBFIS;Berlin Friedrichstraße             (Sst);Bln Friedrstr  S;Sst;Betrieb;;20060201;;1
IBFLS;Berlin Flughafen BBI Terminal      (Sst);Bln BBI Term Sst;Sst;Betrieb;;20151124;;1
IBFLT;Berlin Flughafen BBI Terminal      (GUW);Bln BBI Term GUW;Guw;Betrieb;;20151124;;1
IBFOH;Berlin-Frohnau                      (Uw);Bln-Frohnau   Uw;Guw;Betrieb;;20080101;;1
IBFOS;Berlin-Frohnau                     (Sst);Bln-Frohnau  Sst;Sst;Betrieb;;20080101;;1
IBFRD;Fredersdorf (b Berlin)              (Uw);Fredersdf(Bln)Uw;Guw;Betrieb;;20060201;;1
IBFRH;Berlin-Friedrichshagen              (Uw);Bln-Friedrhg  Uw;Guw;Betrieb;;20030101;;1
IBFRI;Berlin Friedrichstraße              (Uw);Bln Friedrstr Uw;Guw;Betrieb;;20060201;;1
IBFRS;Frankfurt (Oder)                    (Uw);Frankf(O)Rg;dUw;a.B.;;20170720;;1
